ColumnAmountSO2_PBL,Date,Latitude,Longitude,QualityFlags_PBL,RadiativeCloudFraction,SolarZenithAngle,Time
0.043265007436300004,2018-01-01,5.37735319138,-118.000991821,4097.0,0.0,35.677371978800004,77078.5
0.26894187927200003,2018-01-02,29.6113491058,-110.009483337,4097.0,0.0,55.1894302368,74144.375
0.7172733545300001,2018-01-02,32.4812583923,-135.574737549,4097.0,0.0,57.700145721400006,80125.5078125
0.07112291455269999,2018-01-04,14.8953180313,-127.86701965299999,4096.0,0.0,42.5114135742,79092.1640625
0.0267012454569,2018-01-05,8.53786945343,-112.51642608600001,4097.0,0.0,37.4189147949,75649.9375
2.08556747437,2018-01-06,18.9479846954,-101.024703979,4097.0,0.0,45.5327987671,72485.765625
0.44966378807999996,2018-01-07,9.701130867,-109.68566131600001,4096.0,0.0,37.983039856,74928.65625
0.389438658953,2018-01-07,34.3351898193,-116.061805725,4097.0,0.0,58.665588378900004,75338.734375
0.443785846233,2018-01-09,29.3588352203,-136.20474243200002,4097.0,0.0,53.9353942871,80447.9609375
0.0268702320755,2018-01-09,32.8278999329,-112.50526428200001,4097.0,0.0,57.007343292200005,74572.84375
0.604162395,2018-03-05,11.9705705643,-133.05259704600002,9.0,0.123275615275,26.4367294312,80542.09375
0.349653840065,2018-03-05,9.95959663391,-107.640785217,1.0,0.0,25.5977458954,74574.9609375
0.149781912565,2018-03-05,17.6394367218,-109.64956665,1.0,0.0,29.8872013092,74702.984375
0.477291882038,2018-03-05,37.8458213806,-115.591743469,5121.0,0.0,45.6162071228,75041.046875
0.2231644243,2018-03-06,11.387050628699999,-119.259422302,5121.0,0.0,25.741634368899998,77195.8515625
0.00435620360076,2018-03-06,17.2675533295,-120.127853394,0.0,0.0,29.5230731964,77291.8671875
0.08425506949419999,2018-03-07,14.226984977699999,-130.721008301,5129.0,0.122041590512,27.0811595917,79838.7578125
0.132861569524,2018-03-07,14.4781589508,-105.328392029,7169.0,0.0,27.746870040900003,73907.6328125
0.18530298769499998,2018-03-07,21.2141628265,-107.683380127,5120.0,0.0,31.6401901245,74021.65625
0.260036110878,2018-03-08,9.26922512054,-115.444694519,1.0,0.0,24.549345016500002,76418.5078125
0.271138995886,2018-03-08,14.8970489502,-116.970779419,5121.0,0.0,27.244235992399997,76512.5234375
1.0862733125700001,2018-03-08,19.3704776764,-117.29019928,7169.0,0.0,30.5153102875,76584.5390625
0.532203018665,2018-03-09,16.981496810899998,-103.058662415,1.0,0.0,28.5886917114,73208.296875
1.05601382256,2018-03-08,23.325618743899998,-119.03553772,5121.0,0.0,32.8575401306,76652.5546875
1.03630912304,2018-03-09,29.1498146057,-106.704444885,5125.0,0.0,37.004127502399996,73412.3359375
0.42734616994900004,2018-03-09,9.89357376099,-126.643348694,5121.0,0.0,24.445934295700003,79025.3984375
0.28627756238,2018-03-09,15.696721077000001,-127.23880004899999,6145.0,0.0,27.9669189453,79119.4140625
0.0982482209802,2018-03-10,6.905296325680001,-111.59624481200001,1.0,0.0,23.577388763400002,75637.1484375
0.0857734829187,2018-03-10,13.0661001205,-112.966720581,1.0,0.0,26.1473369598,75739.171875
0.243226751685,2018-03-10,18.8114299774,-114.557769775,1.0,0.0,29.3160228729,75835.1875
0.334770321846,2018-03-11,25.3244514465,-102.563415527,5129.0,0.0388296805322,33.427143096900004,72606.9765625
0.246304214001,2018-03-11,10.5973901749,-123.225517273,1.0,0.0,24.7974834442,78294.0546875
1.23141825199,2018-03-11,15.788438797000001,-124.408432007,1.0,0.0,27.3878364563,78380.0703125
0.908279836178,2018-03-11,32.8718528748,-129.427688599,9.0,0.09570879489180001,39.3082542419,78666.125
0.49325057864200006,2018-03-12,25.2740287781,-138.085266113,9.0,0.233504921198,33.0518798828,81134.9921875
0.421084016562,2018-03-12,13.595001220699999,-110.486717224,1.0,0.0,25.640007019000002,75007.828125
0.169890359044,2018-03-12,19.187204361,-111.557884216,4097.0,0.0,29.0306568146,75099.84375
0.234866485,2018-03-12,38.184463500999996,-117.239181519,9.0,0.00422471994534,43.406536102299995,75417.90625
1.0726445913299998,2018-03-14,15.1148519516,-131.972381592,0.0,0.0,26.3546104431,80223.015625
0.5538533329959999,2018-03-14,21.5032558441,-133.500900269,9.0,0.0697080716491,30.128164291399997,80329.03125
0.700468182564,2018-03-14,14.587843895,-107.37309265100001,0.0,0.0,25.9190006256,74281.8828125
0.11016355454900001,2018-03-14,19.8164615631,-108.365722656,1.0,0.0,29.065891265900003,74367.8984375
0.4630600214,2018-03-15,5.557714462280001,-116.413040161,5129.0,0.10819202661499999,22.335899353000002,76728.765625
0.157901734114,2018-03-15,13.286363601700002,-118.136909485,5121.0,0.0,24.893772125199998,76856.7890625
0.0572872757912,2018-03-15,19.285243988,-119.052574158,1.0,0.0,28.4757270813,76954.8125
0.125384137034,2018-03-16,14.3761348724,-104.233963013,9.0,0.09060322493310001,25.411874771100003,73536.5625
0.539933085442,2018-03-16,19.7254257202,-105.253547668,0.0,0.0,28.4992485046,73624.578125
0.580158948898,2018-03-16,34.502521514899996,-109.839530945,5129.0,0.127178534865,38.9429206848,73872.625
0.630837500095,2018-03-16,13.1249189377,-128.914718628,5121.0,0.0,24.630201339699997,79449.6796875
0.023922529071599998,2018-03-16,19.648683548,-129.710754395,6144.0,0.0,28.5952892303,79555.703125
0.510589063168,2018-03-17,8.00684261322,-113.858184814,5129.0,0.0993121787906,22.704706192,76027.4296875
0.975772976875,2018-03-17,15.127882003800002,-115.473152161,5129.0,0.214952513576,25.3823547363,76145.453125
